Company,"CIK Code",Ticker,Market,"IRS Number","Bus Street 1","Bus Street 2",City,County,"State Code","State Name",Region,Zip,"Bus Phone","Incorporation State Code","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act",Auditor,"Auditor Key","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate Country","Audit Fees ($)","Audit Related Fees ($)","Benefit Plan Related Fees ($)","FISDI Fees ($)","Tax Related Fees ($)","Tax Related Fees - Compliance ($)","Tax Related Fees - Non-Compliance ($)","Other/Misc Fees ($)","Total Non Audit Fees ($)","Total Fees ($)",Currency,"Fees Include Subsidiaries","Fees Included In Parent Filings","Restated Fees","Year Ended Date","Year Ended","Year Ended Month (Ideal)","Fiscal Year Ends (Currently Reported)","S&P Index","Russell Index",Source,"Source Date","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
"HEALTHPEAK PROPERTIES, INC.",765880,DOC,NYSE,330091377,"4600 SOUTH SYRACUSE STREET","SUITE 500",DENVER,Denver,CO,COLORADO,"US West",80237,"(949) 407-0700",MD,,,6798,"Real Estate Investment Trusts",531120,"Lessors of Nonresidential Buildings (except Miniwarehouses)",34,"Deloitte & Touche LLP",3,,,,"2,704,000","445,000",0,0,"1,429,000","694,000","735,000",0,"1,874,000","4,578,000",USD,,,0,2022-12-31,2022,12,1231,"S&P 500","Russell 1000","DEF 14A",2023-03-17,25.2,2022-12-29,"13,546,011,648",2022-12-31,"2,037,878,000","1,007,579,000","6,342,319,000","15,771,229,000"
"BROWN & BROWN, INC.",79282,BRO,NYSE,590864469,"300 N. BEACH STREET",,"DAYTONA BEACH",Volusia,FL,FLORIDA,"US Southeast",32114,"(386) 252-9601",FL,,,6411,"Insurance Agents, Brokers, and Service",524210,"Insurance Agencies and Brokerages",34,"Deloitte & Touche LLP",3,,,,"2,702,480","699,450",0,0,0,,,0,"699,450","3,401,930",USD,,,0,2022-12-31,2022,12,1231,"S&P 500","Russell 1000","DEF 14A",2023-03-22,56.97,2022-12-31,"16,133,904,384",2022-12-31,"3,573,400,000","671,800,000","-3,662,800,000","13,973,500,000"
"SUPERIOR ENERGY SERVICES INC",886835,,GREY,874613576,"1001 LOUISIANA STREET, SUITE 2900",,HOUSTON,Harris,TX,TEXAS,"US Southwest",77002,"(713) 654-2200",,,,1389,"Oil and Gas Field Services, NEC",213112,"Support Activities for Oil and Gas Operations",34,"PricewaterhouseCoopers LLP",1,,,,"2,700,000","3,000",0,0,0,,,"241,000","244,000","2,944,000",USD,,,0,2022-12-31,2022,12,1231,,,10-K,2023-03-15,,,,2022-12-31,"883,960,000","286,465,000",,"1,191,012,000"
"Boardwalk Pipeline Partners, LP",1336047,,NYS,203265614,"9 GREENWAY PLAZA, SUITE 2800",,HOUSTON,Harris,TX,TEXAS,"US Southwest",77046,"(866) 913-2122",DE,,,4922,"Natural Gas Transmission",486210,"Pipeline Transportation of Natural Gas",34,"Deloitte & Touche LLP",3,,,,"2,700,000","100,000",0,0,0,,,0,"100,000","2,800,000",USD,Uncertain,,0,2022-12-31,2022,12,1231,,,10-K,2023-02-07,,,,2022-12-31,"1,432,000,000","342,200,000","5,464,800,000","9,569,900,000"
"WILLIAMS SONOMA INC",719955,WSM,NYSE,942203880,"3250 VAN NESS AVENUE",,"SAN FRANCISCO","San Francisco",CA,CALIFORNIA,"US West",94109,"(415) 421-7900",DE,,,5700,"Retail-Home Furniture, Furnishings & Equipment Stores",442299,"All Other Home Furnishings Stores",34,"Deloitte & Touche LLP",3,,,,"2,700,000",0,0,0,0,,,"2,000","2,000","2,702,000",USD,,,0,2022-01-30,2022,01,0201,"S&P 500","Russell 1000","DEF 14A",2022-04-21,160.54,2022-01-31,"11,555,990,528",2022-01-30,"8,245,936,000","1,126,337,000","1,578,853,000","4,625,620,000"
"Midstream Co LLC",1747009,,NYS,830516635,"625 LIBERTY AVENUE","SUITE 1700",PITTSBURGH,Allegheny,PA,PENNSYLVANIA,"US Mid Atlantic",15222,"(412) 553-5700",DE,,,4922,"Natural Gas Transmission",211111,"Crude Petroleum and Natural Gas Extraction",34,"Ernst & Young LLP",2,,,,"2,697,000","57,000",0,0,0,,,0,"57,000","2,754,000",USD,,,0,2022-12-31,2022,12,1231,,,"DEF 14A",2023-02-23,6.82,2022-12-29,"2,951,566",2022-12-31,"1,357,747,000","-269,342,000","527,397,000","10,445,585,000"
"Cannae Holdings, Inc.",1704720,CNNE,NYSE,821273460,"C/O CANNAE HOLDINGS, INC.","1701 VILLAGE CENTER CIRCLE","LAS VEGAS",Clark,NV,NEVADA,"US West",89134,"(702) 323-7334",DE,,,5810,"Retail-Eating & Drinking Places",722110,"Full-Service Restaurants",34,"Deloitte & Touche LLP",3,,,,"2,693,000",0,0,0,"548,000",,,0,"548,000","3,241,000",USD,,,0,2022-12-31,2022,12,1231,,"Russell 2000","DEF 14A",2023-04-28,20.65,2022-12-31,"1,574,665,216",2022-12-31,"662,100,000","-428,100,000","2,641,900,000","3,125,500,000"
"Udemy, Inc.",1607939,UDMY,"NASDAQ Global Select Market",271779864,"600 HARRISON STREET","3RD FLOOR","SAN FRANCISCO","San Francisco",CA,CALIFORNIA,"US West",94107,"(510) 378-4789",DE,,,8200,"Services-Educational Services",611710,"Educational Support Services",34,"Deloitte & Touche LLP",3,,,,"2,692,000",0,0,0,0,,,"6,000","6,000","2,698,000",USD,,,0,2022-12-31,2022,12,1231,,"Russell 2000","DEF 14A",2023-04-27,10.55,2022-12-31,"1,529,895,424",2022-12-31,"629,097,000","-153,875,000","289,921,000","737,568,000"
"AltaGas Ltd.",1695519,,,,"1700, 355-4 AVENUE SW",,CALGARY,,A0,ALBERTA,Canada,T2P0J1,"1 (403) 691-7575",Z4,,,1311,"Crude Petroleum and Natural Gas",211111,"Crude Petroleum and Natural Gas Extraction",34,"Ernst & Young LLP",2,"Ernst & Young LLP Chartered Accountants",192,ONTARIO,"2,691,185","307,564",0,0,"307,564",,,"230,673","845,801","3,536,985",USD,,,0,2022-12-31,2022,12,1231,,,40-F,2023-03-02,,,,2022-12-31,"10,397,000,000","386,000,000","1,540,000,000","17,687,000,000"
"ADVANCED DRAINAGE SYSTEMS, INC.",1604028,WMS,NYSE,510105665,"4024 GREEN STRIPE LANE",,HILLIARD,,OH,OHIO,"US Midwest",,"(800) 733-7473",DE,,,3086,"Plastics Foam Products",326122,"Plastics Pipe and Pipe Fitting Manufacturing",34,"Deloitte & Touche LLP",3,,,,"2,690,000","15,000",0,0,"21,000","21,000",,"4,000","40,000","2,730,000",USD,,,0,2022-03-31,2022,03,0331,"S&P 400 MidCap","Russell 1000","DEF 14A",2022-06-09,118.81,2022-03-31,"8,591,032,320",2022-03-31,"2,769,315,000","271,331,000","46,745,000","2,649,758,000"
"VALMONT INDUSTRIES INC",102729,VMI,NYSE,470351813,"15000 VALMONT PLAZA",,OMAHA,Douglas,NE,NEBRASKA,"US Midwest",68154,"(402) 963-1000",DE,,,3440,"Fabricated Structural Metal Products",238120,"Structural Steel and Precast Concrete Contractors",34,"Deloitte & Touche LLP",3,,,,"2,686,801","431,800",0,0,"133,533",,,"1,895","567,228","3,254,029",USD,,,0,2022-12-31,2022,12,1226,"S&P 400 MidCap","Russell 1000","DEF 14A",2023-03-14,330.67,2022-12-31,"7,059,859,968",2022-12-31,"4,345,250,000","250,863,000","664,371,000","3,556,996,000"
"GROUP 1 AUTOMOTIVE INC",1031203,GPI,NYSE,760506313,"730 TOWN & COUNTRY BOULEVARD","SUITE 500",HOUSTON,Harris,TX,TEXAS,"US Southwest",77024,"(713) 647-5700",DE,,,5500,"Retail-Auto Dealers & Gasoline Stations",441110,"New Car Dealers",34,"Deloitte & Touche LLP",3,,,,"2,686,300",0,0,0,"34,350",,,0,"34,350","2,720,650",USD,,,0,2022-12-31,2022,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2023-04-17,180.37,2022-12-31,"2,577,906,176",2022-12-31,"16,222,100,000","751,500,000","59,400,000","6,717,600,000"
"Proterra Inc",1820630,,NAS,902099565,"504 PENNSYLVANIA AVENUE","PO BOX 2205",GREER,Greenville,SC,"SOUTH CAROLINA","US Southeast",29652,"(303) 689-8855",DE,,,3711,"Motor Vehicles and Passenger Car Bodies",336111,"Automobile Manufacturing",34,"KPMG LLP",4,,,,"2,685,000",0,0,0,0,,,0,0,"2,685,000",USD,,,0,2022-12-31,2022,12,1231,,,"DEF 14A",2023-05-11,3.71,2022-12-29,"836,604,992",2022-12-31,"309,364,000","-237,950,000",,"840,459,000"
"TFI International Inc.",1588823,TFII,NYSE,,"8801 TRANS-CANADA HIGHWAY","SUITE 500",SAINT-LAURENT,,A8,QUEBEC,Canada,"H4S 1Z6","(514) 331-4113",A8,,,4210,"Trucking & Courier Services (No Air)",484121,"General Freight Trucking, Long-Distance, Truckload",34,"KPMG LLP",4,"KPMG LLP Chartered Accountants",187,ONTARIO,"2,683,499","382,553",0,0,0,,,0,"382,553","3,066,052",USD,,,0,2022-12-31,2022,12,1231,,,40-F,2023-02-23,,,,2022-12-31,"8,812,491,000","823,232,000","870,960,000","5,505,830,000"
"Ribbon Communications Inc.",1708055,RBBN,"NASDAQ Global Select Market",821669692,"6500 CHASE OAKS BOULEVARD",,PLANO,Collin,TX,TEXAS,"US Southwest",75023,"(877) 412-8867",DE,,,7373,"Computer Integrated Systems Design",541512,"Computer Systems Design Services",34,"Deloitte & Touche LLP",3,,,,"2,683,171",0,0,0,"46,850",,,"3,750","50,600","2,733,771",USD,,,0,2022-12-31,2022,12,1231,,"Russell 2000","DEF 14A",2023-06-20,2.79,2022-12-31,"469,626,752",2022-12-31,"819,760,000","-98,083,000","-77,193,000","1,255,564,000"
"DOLLAR GENERAL CORP",29534,DG,NYSE,610502302,"100 MISSION RIDGE",,GOODLETTSVILLE,Davidson,TN,TENNESSEE,"US Southeast",37072,"(615) 855-4000",TN,,,5331,"Variety Stores",452990,"All Other General Merchandise Stores",34,"Ernst & Young LLP",2,,,,"2,680,086",0,0,0,"2,418,017","2,155,935","262,082","5,325","2,423,342","5,103,428",USD,,,0,2022-01-28,2022,01,0130,"S&P 500","Russell 1000","DEF 14A",2022-04-01,208.48,2022-01-31,"47,953,735,680",2022-01-28,"34,220,449,000","2,399,232,000","723,647,000","26,327,371,000"
"Benson Hill, Inc.",1830210,BHILQ,"Expert Market",853374823,"1200 RESEARCH BOULEVARD",,"ST. LOUIS","Saint Louis",MO,MISSOURI,"US Southeast",63132,"(314) 222-8218",DE,,,2000,"Food and Kindred Products",424480,"Fresh Fruit and Vegetable Merchant Wholesalers",34,"Ernst & Young LLP",2,,,,"2,679,564",0,0,0,0,,,0,0,"2,679,564",USD,,,0,2022-12-31,2022,12,1231,,,"DEF 14A",2023-06-26,2.55,2022-12-31,"527,003,392",2022-12-31,"381,233,000","-127,905,000","166,525,000","500,920,000"
"Green Plains Inc.",1309402,GPRE,"NASDAQ Global Select Market",841652107,"1811 AKSARBEN DRIVE",,OMAHA,Douglas,NE,NEBRASKA,"US Midwest",68106,"(402) 884-8700",IA,,,2860,"Industrial Organic Chemicals",325193,"Ethyl Alcohol Manufacturing",34,"KPMG LLP",4,,,,"2,679,500",0,0,0,"93,000",,,0,"93,000","2,772,500",USD,,,0,2022-12-31,2022,12,1231,,"Russell 2000","DEF 14A",2023-03-29,30.5,2022-12-31,"1,808,512,640",2022-12-31,"3,662,849,000","-127,218,000",,"2,123,131,000"
"BOX INC",1372612,BOX,NYSE,202714444,"900 JEFFERSON AVE",,"REDWOOD CITY","San Mateo",CA,CALIFORNIA,"US West",94063,"(877) 729-4269",DE,,,7372,"Prepackaged Software",511210,"Software Publishers",34,"Ernst & Young LLP",2,,,,"2,675,542",0,0,0,"632,417",,,0,"632,417","3,307,959",USD,,,0,2022-01-31,2022,01,0131,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-05-27,26.13,2022-01-31,"3,790,966,528",2022-01-31,"874,332,000","-41,459,000","18,327,000","1,392,009,000"
"FORUM ENERGY TECHNOLOGIES, INC.",1401257,FET,NYSE,611488595,"10344 SAM HOUSTON PARK DRIVE","SUITE 300",HOUSTON,Harris,TX,TEXAS,"US Southwest",77064,"(281) 949-2500",DE,,,3533,"Oil and Gas Field Machinery and Equipment",333132,"Oil and Gas Field Machinery and Equipment Manufacturing",34,"Deloitte & Touche LLP",3,,,,"2,675,000",0,0,0,0,,,"2,000","2,000","2,677,000",USD,,,0,2022-12-31,2022,12,1231,,"Russell 2000","DEF 14A",2023-03-27,29.5,2022-12-31,"166,769,600",2022-12-31,"699,913,000","3,712,000","115,554,000","834,757,000"
"PATRICK INDUSTRIES INC",76605,PATK,"NASDAQ Global Select Market",351057796,"107 WEST FRANKLIN STREET",,ELKHART,Elkhart,IN,INDIANA,"US Midwest",46516,"(574) 294-7511",IN,,,3714,"Motor Vehicle Parts and Accessories",326199,"All Other Plastics Product Manufacturing",34,"Deloitte & Touche LLP",3,,,,"2,674,300","298,300",0,0,"362,800",,,"1,900","663,000","3,337,300",USD,,,0,2022-12-31,2022,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2023-04-10,60.6,2022-12-31,"1,346,068,992",2022-12-31,"4,881,872,000","328,196,000","-394,324,000","2,782,471,000"
"H&R BLOCK INC",12659,HRB,NYSE,440607856,"ONE H&R BLOCK WAY",,"KANSAS CITY",Jackson,MO,MISSOURI,"US Southeast",64105,"(816) 854-3000",MO,,,7200,"Services-Personal Services",541213,"Tax Preparation Services",34,"Deloitte & Touche LLP",3,,,,"2,673,775","105,790",0,0,"148,030",,,0,"253,820","2,927,595",USD,,,0,2022-06-30,2022,06,0630,"S&P 400 MidCap","Russell 1000","DEF 14A",2022-09-22,35.32,2022-06-30,"5,648,738,816",2022-06-30,"3,463,270,000","553,674,000","-858,414,000","3,269,158,000"
"Kennedy-Wilson Holdings, Inc.",1408100,KW,NYSE,260508760,"151 S EL CAMINO DR",,"BEVERLY HILLS","Los Angeles",CA,CALIFORNIA,"US West",90212,"(310) 887-6400",DE,,,6500,"Real Estate",531190,"Lessors of Other Real Estate Property",34,"KPMG LLP",4,,,,"2,673,000",0,0,0,0,,,0,0,"2,673,000",USD,,,0,2022-12-31,2022,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2023-04-27,15.73,2022-12-31,"2,167,448,832",2022-12-31,"34,315,141","5,730,524",,"8,271,800,000"
"Western Midstream Operating, LP",1414475,,NYSE,261075808,"9950 WOODLOCH FOREST DRIVE, SUITE 2800",,"THE WOODLANDS",Montgomery,TX,TEXAS,"US Southwest",77380,"(346) 786-5000",DE,,,4922,"Natural Gas Transmission",486210,"Pipeline Transportation of Natural Gas",34,"KPMG LLP",4,,,,"2,673,000",0,0,0,0,,,0,0,"2,673,000",USD,,,0,2022-12-31,2022,12,1231,,,10-K,2023-02-22,26.19,2022-12-29,"10,818,138,112",2022-12-31,"3,251,721,000","1,244,620,000","2,374,154,000","11,268,259,000"
"Fortress Biotech, Inc.",1429260,FBIO,"NASDAQ Capital Market",205157386,"1111 KANE CONCOURSE","SUITE 301","BAY HARBOR ISLANDS",Miami-Dade,FL,FLORIDA,"US Southeast",33154,"(781) 652-4500",DE,,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,"KPMG LLP",4,,,,"2,672,700",0,0,0,"98,530",,,0,"98,530","2,771,230",USD,Uncertain,,0,2022-12-31,2022,12,1231,,,"DEF 14A",2023-04-28,0.66,2022-12-31,"72,336,896",2022-12-31,"75,743,000","-86,575,000","14,524,000","294,301,000"
"WW INTERNATIONAL, INC.",105319,WW,"NASDAQ Global Market",116040273,"18 WEST 18TH STREET","7TH FLOOR","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10011,"(212) 589-2700",VA,,,7200,"Services-Personal Services",812191,"Diet and Weight Reducing Centers",34,"PricewaterhouseCoopers LLP",1,,,,"2,669,437","4,816",0,0,"112,850",,,"12,703","130,369","2,799,806",USD,,,0,2022-12-31,2022,12,1231,,,"DEF 14A",2023-04-03,3.86,2022-12-31,"272,346,176",2022-12-31,"1,040,856,000","-251,403,000","-1,289,864,000","1,028,430,000"
"Koppers Holdings Inc.",1315257,KOP,NYSE,201878963,"436 SEVENTH AVENUE",,PITTSBURGH,Allegheny,PA,PENNSYLVANIA,"US Mid Atlantic",15219,"(412) 227-2001",PA,,,2400,"Lumber & Wood Products (No Furniture)",321114,"Wood Preservation",34,"KPMG LLP",4,,,,"2,667,000","50,000",0,0,"731,000","222,000","509,000",0,"781,000","3,448,000",USD,Uncertain,,0,2022-12-31,2022,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2023-04-03,28.2,2022-12-31,"585,519,360",2022-12-31,"1,980,500,000","63,400,000","-10,700,000","1,711,400,000"
"MERCURY SYSTEMS INC",1049521,MRCY,"NASDAQ Global Select Market",042741391,"50 MINUTEMAN ROAD",,ANDOVER,Essex,MA,MASSACHUSETTS,"US New England",01810,"(978) 256-1300",MA,,,3670,"Electronic Components & Accessories",334418,"Printed Circuit Assembly (Electronic Assembly) Manufacturing",34,"KPMG LLP",4,,,,"2,666,600",0,0,0,0,,,0,0,"2,666,600",USD,,,0,2022-07-01,2022,6,0630,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-09-08,40.6,2022-09-30,"2,280,918,272",2022-07-01,"988,197,000","11,275,000","247,767,000","2,304,415,000"
"INCYTE CORP",879169,INCY,"NASDAQ Global Select Market",943136539,"1801 AUGUSTINE CUT-OFF",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19803,"(302) 498-6700",DE,,,8731,"Commercial Physical and Biological Research",541710,"Research and Development in the Physical, Engineering, and Life Sciences",34,"Ernst & Young LLP",2,,,,"2,664,000","122,000",0,0,0,,,0,"122,000","2,786,000",USD,,,0,2022-12-31,2022,12,1231,"S&P 500","Russell 1000","DEF 14A",2023-04-28,80.32,2022-12-31,"17,891,016,704",2022-12-31,"3,394,635,000","340,660,000","4,085,307,000","5,840,984,000"
"OPKO HEALTH, INC.",944809,OPK,"NASDAQ Global Select Market",752402409,"4400 BISCAYNE BLVD.",,MIAMI,Miami-Dade,FL,FLORIDA,"US Southeast",33137,"(305) 575-4181",DE,,,2834,"Pharmaceutical Preparations",541710,"Research and Development in the Physical, Engineering, and Life Sciences",34,"Ernst & Young LLP",2,,,,"2,663,541","979,975",0,0,0,,,"2,570","982,545","3,646,086",USD,,,0,2022-12-31,2022,12,1231,,"Russell 2000","DEF 14A",2023-05-01,1.25,2022-12-31,"965,813,824",2022-12-31,"1,004,196,000","-328,405,000","142,277,000","2,167,259,000"
"Penumbra Inc",1321732,PEN,NYSE,050605598,"ONE PENUMBRA PLACE",,ALAMEDA,Alameda,CA,CALIFORNIA,"US West",94502,"(510) 995-2486",DE,,,3841,"Surgical and Medical Instruments and Apparatus",339113,"Surgical Appliance and Supplies Manufacturing",34,"Deloitte & Touche LLP",3,,,,"2,658,977",0,0,0,"231,703",,,0,"231,703","2,890,680",USD,,,0,2022-12-31,2022,12,1231,"S&P 400 MidCap","Russell 1000","DEF 14A",2023-04-19,222.46,2022-12-31,"8,477,500,416",2022-12-31,"847,133,000","-2,002,000","751,651,000","1,370,886,000"
"Zscaler, Inc.",1713683,ZS,"NASDAQ Global Select Market",261173892,"120 HOLGER WAY",,"SAN JOSE","Santa Clara",CA,CALIFORNIA,"US West",95134,"(408) 533-0288",DE,,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,"PricewaterhouseCoopers LLP",1,,,,"2,656,167","2,376",0,0,0,,,"96,800","99,176","2,755,343",USD,,,0,2022-07-31,2022,07,0731,,"Russell 1000","DEF 14A",2022-11-23,155.06,2022-07-31,"22,179,471,360",2022-07-31,"1,090,946,000","-390,278,000","462,934,000","2,832,665,000"
"ARIZONA PUBLIC SERVICE CO",7286,,,860011170,"400 NORTH FIFTH STREET",,PHOENIX,Maricopa,AZ,ARIZONA,"US Southwest",85004,"(602) 250-1000",AZ,764622,"PINNACLE WEST CAPITAL CORP",4931,"Electric and Other Services Combined",221112,"Fossil Fuel Electric Power Generation",34,"Deloitte & Touche LLP",3,,,,"2,653,737","498,167",0,0,0,,,0,"498,167","3,151,904",USD,,Uncertain,0,2022-12-31,2022,12,1231,,,10-K,2023-02-27,,,,2022-12-31,"4,324,385,000","524,929,000","6,683,001,000","22,543,852,000"
"FULTON FINANCIAL CORP",700564,FULT,"NASDAQ Global Select Market",232195389,"ONE PENN SQ","PO BOX 4887",LANCASTER,Lancaster,PA,PENNSYLVANIA,"US Mid Atlantic",17604,"(717) 291-2411",PA,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"KPMG LLP",4,,,,"2,653,000",0,0,0,"60,000",,,0,"60,000","2,713,000",USD,,,0,2022-12-31,2022,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2023-04-03,16.83,2022-12-31,"2,820,708,096",2022-12-31,"965,908,000","272,146,000","2,018,933,000","26,931,702,000"
"BLACKBERRY Ltd",1070235,BB,NYSE,980164408,"2200 UNIVERSITY AVENUE EAST",*,WATERLOO,,A6,ONTARIO,Canada,"N2L 3W8","(519) 888-7465",A6,,,7372,"Prepackaged Software",518210,"Data Processing, Hosting, and Related Services",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers LLP Chartered Accountants",191,ONTARIO,"2,649,204","26,750",0,0,0,,,"48,591","75,341","2,724,545",USD,,,0,2022-02-28,2022,02,0229,,,"DEF 14A",2022-05-10,6.87,2022-02-28,"3,958,685,696",2022-02-28,"718,000,000","12,000,000","190,000,000","2,567,000,000"
"10x Genomics, Inc.",1770787,TXG,"NASDAQ Global Select Market",455614458,"6230 STONERIDGE MALL ROAD",,PLEASANTON,Alameda,CA,CALIFORNIA,"US West",94588,"(925) 401-7300",DE,,,3826,"Laboratory Analytical Instruments",334516,"Analytical Laboratory Instrument Manufacturing",34,"Ernst & Young LLP",2,,,,"2,648,283",0,0,0,"150,048",,,"2,630","152,678","2,800,961",USD,,,0,2022-12-31,2022,12,1231,,"Russell 2000","DEF 14A",2023-04-28,36.44,2022-12-31,"3,517,471,232",2022-12-31,"516,409,000","-166,000,000","778,374,000","1,028,980,000"
"FIGS, Inc.",1846576,FIGS,NYSE,462005653,"2834 COLORADO AVENUE","SUITE 100","SANTA MONICA","Los Angeles",CA,CALIFORNIA,"US West",90404,"(420) 500-8209",DE,,,2300,"Apparel & Other Finishd Prods of Fabrics & Similar Matl",812332,"Industrial Launderers",34,"Ernst & Young LLP",2,,,,"2,642,900",0,0,0,"50,000",,,0,"50,000","2,692,900",USD,,,0,2022-12-31,2022,12,1231,,"Russell 2000","DEF 14A",2023-04-25,6.73,2022-12-31,"1,072,434,304",2022-12-31,"505,835,000","21,186,000",,"395,064,000"
"NS Wind Down Co., Inc.",1401708,,PINX,200094687,"617 EASTLAKE AVENUE EAST",,SEATTLE,King,WA,WASHINGTON,"US West",98109,"(206) 378-6266",DE,,,2836,"Biological Products, Except Diagnostic Substances",325414,"Biological Product (except Diagnostic) Manufacturing",34,"Ernst & Young LLP",2,,,,"2,641,185",0,0,0,0,,,"4,388","4,388","2,645,573",USD,,,0,2022-12-31,2022,12,1231,,,"DEF 14A",2023-04-28,7.97,2022-12-31,"372,350,432",2022-12-31,"127,262,000","-159,543,000",,"353,412,000"
"Azenta, Inc.",933974,AZTA,"NASDAQ Global Select Market",043040660,"200 SUMMIT DRIVE","6TH FLOOR",BURLINGTON,Middlesex,MA,MASSACHUSETTS,"US New England",01803,"(978) 262-2400",DE,,,3559,"Special  Industry Machinery, NEC",333298,"All Other Industrial Machinery Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"2,635,754","500,000",0,0,"25,831",,,956,"526,787","3,162,541",USD,,,0,2022-09-30,2022,09,0930,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-12-21,42.86,2022-09-30,"3,215,368,192",2022-09-30,"555,498,000","2,132,859,000","2,671,362,000","3,716,122,000"
"BuzzFeed, Inc.",1828972,BZFD,"NASDAQ Capital Market",853022075,"50 WEST 23RD STREET, 6TH FLOOR",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10010,"(646) 397-2039",DE,,,4899,"Communications Services, NEC",518210,"Data Processing, Hosting, and Related Services",34,"Deloitte & Touche LLP",3,,,,"2,635,393","14,600",0,0,"5,916",,,0,"20,516","2,655,909",USD,,,1,2022-12-31,2022,12,1231,,,"DEF 14A",2024-04-11,0.69,2022-12-31,"87,207,032",2022-12-31,"325,777,000","-200,957,000","-41,003,000","529,972,000"
"EXACT SCIENCES CORP",1124140,EXAS,"NASDAQ Capital Market",020478229,"5505 ENDEAVOR LANE",,MADISON,Dane,WI,WISCONSIN,"US Midwest",53719,"(608) 284-5700",,,,8071,"Medical Laboratories",621511,"Medical Laboratories",34,"PricewaterhouseCoopers LLP",1,,,,"2,633,000","712,000",0,0,0,,,0,"712,000","3,345,000",USD,,,0,2022-12-31,2022,12,1231,,"Russell 1000","DEF 14A",2023-04-26,49.51,2022-12-31,"8,809,098,240",2022-12-31,"2,084,279,000","-623,506,000","-1,259,118,000","6,226,873,000"
"HEXCEL CORP /DE/",717605,HXL,NYSE,941109521,"TWO STAMFORD PLAZA","281 TRESSER BLVD., 16TH FLOOR",STAMFORD,Fairfield,CT,CONNECTICUT,"US New England",06901,"(203) 969-0666",DE,,,2821,"Plastics Material and Synthetic Resins, and Nonvulcanizable Elastomers",336413,"Other Aircraft Parts and Auxiliary Equipment Manufacturing",34,"Ernst & Young LLP",2,,,,"2,632,500",0,0,0,"152,000",,,0,"152,000","2,784,500",USD,,,0,2022-12-31,2022,12,1231,"S&P 400 MidCap","Russell 1000","DEF 14A",2023-03-23,58.85,2022-12-31,"4,955,169,792",2022-12-31,"1,577,700,000","126,300,000","1,298,200,000","2,837,300,000"
"INNOSPEC INC.",1054905,IOSP,"NASDAQ Global Select Market",980181725,"8310 SOUTH VALLEY HIGHWAY","SUITE 350",ENGLEWOOD,Arapahoe,CO,COLORADO,"US West",80112,"(720) 355-6451",DE,,,2800,"Chemicals & Allied Products",325998,"All Other Miscellaneous Chemical Product and Preparation Manufacturing",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers LLP",121,"UNITED KINGDOM","2,631,000",0,0,0,0,,,"25,000","25,000","2,656,000",USD,,,0,2022-12-31,2022,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2023-03-22,102.86,2022-12-31,"2,547,382,784",2022-12-31,"1,963,700,000","133,000,000","634,200,000","1,603,700,000"
"SONIC AUTOMOTIVE INC",1043509,SAH,NYSE,562010790,"4401 COLWICK ROAD",,CHARLOTTE,Mecklenburg,NC,"NORTH CAROLINA","US Southeast",28211,"(704) 566-2400",DE,,,5500,"Retail-Auto Dealers & Gasoline Stations",441110,"New Car Dealers",34,"KPMG LLP",4,,,,"2,623,921","400,000",0,0,0,,,0,"400,000","3,023,921",USD,,,0,2022-12-31,2022,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2023-04-03,49.27,2022-12-31,"1,192,547,072",2022-12-31,"14,001,100,000","88,500,000","267,500,000","4,978,300,000"
