Company,"CIK Code",Ticker,Market,"IRS Number","Bus Street 1","Bus Street 2",City,County,"State Code","State Name",Region,Zip,"Bus Phone","Incorporation State Code","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act",Auditor,"Auditor Key","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate Country","Audit Fees ($)","Audit Related Fees ($)","Benefit Plan Related Fees ($)","FISDI Fees ($)","Tax Related Fees ($)","Tax Related Fees - Compliance ($)","Tax Related Fees - Non-Compliance ($)","Other/Misc Fees ($)","Total Non Audit Fees ($)","Total Fees ($)",Currency,"Fees Include Subsidiaries","Fees Included In Parent Filings","Restated Fees","Year Ended Date","Year Ended","Year Ended Month (Ideal)","Fiscal Year Ends (Currently Reported)","S&P Index","Russell Index",Source,"Source Date","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
"Coronado Global Resources Inc.",1770561,CODQL,"Pink Limited",831780608,"LEVEL 33 CENTRAL PLAZA ONE","345 QUEEN STREET",BRISBANE,,C3,AUSTRALIA,Foreign,4000,"(61) 7 3031 7777",DE,,,1220,"Silver Ores",212112,"Bituminous Coal Underground Mining",34,"Ernst & Young LLP",2,"Ernst & Young",32,AUSTRALIA,"2,425,000","356,268",0,0,"104,663",,,0,"460,931","2,885,931",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-13,0.0111,2021-12-31,"1,860,864",2021-12-31,"2,148,471,000","189,425,000","1,045,980,000","2,461,412,000"
"STEELCASE INC",1050825,SCS,NYSE,380819050,"901 44TH STREET SE",,"GRAND RAPIDS",Kent,MI,MICHIGAN,"US Midwest",49508,"(616) 247-2710",MI,,,2522,"Office Furniture, Except Wood",337214,"Office Furniture (except Wood) Manufacturing",34,"Deloitte & Touche LLP",3,,,,"2,425,000",0,0,0,"999,000",,,"3,500","1,002,500","3,427,500",USD,,,1,2021-02-26,2021,02,0227,,"Russell 2000","DEF 14A",2022-06-01,13.94,2021-02-28,"1,235,731,072",2021-02-26,"2,596,200,000","26,100,000","652,000,000","2,354,000,000"
"SYNOVUS FINANCIAL CORP",18349,SNV,NYSE,581134883,"33 W 14TH STREET",,COLUMBUS,Muscogee,GA,GEORGIA,"US Southeast",31901,"(706) 641-6500",X1,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"KPMG LLP",4,,,,"2,424,029","149,000",0,0,"289,410",,,"1,780","440,190","2,864,219",USD,,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 1000","DEF 14A",2022-03-15,47.87,2021-12-31,"6,941,633,024",2021-12-31,"2,089,264,000","760,467,000","4,808,814,000","57,317,226,000"
"ALLIANT ENERGY CORP",352541,LNT,"NASDAQ Global Select Market",391380265,"4902 NORTH BILTMORE LANE","SUITE 1000",MADISON,Dane,WI,WISCONSIN,"US Midwest",53718-2148,"(608) 458-3311",WI,,,4931,"Electric and Other Services Combined",221122,"Electric Power Distribution",34,"Deloitte & Touche LLP",3,,,,"2,422,000","138,000",0,0,"21,000",,,"7,000","166,000","2,588,000",USD,Yes,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-31,61.47,2021-12-31,"15,396,669,440",2021-12-31,"3,669,000,000","674,000,000",,"18,553,000,000"
"BLACKLINE, INC.",1666134,BL,"NASDAQ Global Select Market",463354276,"21300 VICTORY BOULEVARD","12TH FLOOR","WOODLAND HILLS","Los Angeles",CA,CALIFORNIA,"US West",91367,"(818) 223-9008",DE,,,7372,"Prepackaged Software",511210,"Software Publishers",34,"PricewaterhouseCoopers LLP",1,,,,"2,420,000","320,000",0,0,"420,332",,,"12,900","753,232","3,173,232",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-03-25,103.54,2021-12-31,"6,107,229,184",2021-12-31,"425,706,000","-115,161,000","4,283,000","1,817,578,000"
"UPBOUND GROUP, INC.",933036,UPBD,"NASDAQ Global Select Market",450491516,"5501 HEADQUARTERS DRIVE",,PLANO,Collin,TX,TEXAS,"US Southwest",75024,"(972) 801-1100",DE,,,7359,"Equipment Rental and Leasing, NEC",532210,"Consumer Electronics and Appliances Rental",34,"Ernst & Young LLP",2,,,,"2,419,085",0,0,0,"47,130",,,0,"47,130","2,466,215",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-04-25,49.36,2021-12-29,"3,264,682,240",2021-12-31,"4,583,451,000","134,940,000","-201,632,000","2,993,327,000"
"IDEXX LABORATORIES INC /DE",874716,IDXX,"NASDAQ Global Select Market",010393723,"ONE IDEXX DRIVE",,WESTBROOK,Cumberland,ME,MAINE,"US New England",04092-2041,"(207) 556-0300",DE,,,2835,"In Vitro and In Vivo Diagnostic Substances",325413,"In-Vitro Diagnostic Substance Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"2,410,842",0,0,0,"2,284,402","131,234","2,153,168",900,"2,285,302","4,696,144",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-31,658.46,2021-12-31,"55,680,696,320",2021-12-31,"3,215,360,000","744,845,000","231,612,000","2,437,203,000"
"Empire State Realty Trust, Inc.",1541401,ESRT,NYSE,371645259,"111 WEST 33RD STREET, 12TH FL",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10120,"(212) 850-2600",MD,,,6798,"Real Estate Investment Trusts",531120,"Lessors of Nonresidential Buildings (except Miniwarehouses)",34,"Ernst & Young LLP",2,,,,"2,402,500",0,0,0,0,,,0,0,"2,402,500",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-03-31,8.9,2021-12-31,"1,505,286,784",2021-12-31,"624,094,000","-6,510,000","169,745,000","4,282,447,000"
"E.W. SCRIPPS Co",832428,SSP,"NASDAQ Global Select Market",311223339,"312 WALNUT STREET",,CININNATI,Hamilton,OH,OHIO,"US Midwest",45202,"(513) 977-3000",OH,,,4833,"Television Broadcasting Stations",511110,"Newspaper Publishers",34,"Deloitte & Touche LLP",3,,,,"2,400,609","17,043",0,0,0,,,"35,000","52,043","2,452,652",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-03-18,19.35,2021-12-31,"1,367,000,192",2021-12-31,"2,283,532,000","122,712,000","-3,363,577,000","6,658,314,000"
"Level 3 Parent, LLC",794323,,NYS,470210602,"1025 ELDORADO BOULEVARD","BLDG 2000",BROOMFIELD,Jefferson,CO,COLORADO,"US West",80021,"(720) 888-1000",DE,18926,"Lumen Technologies, Inc.",4813,"Telephone Communications, Except Radiotelephone",517110,"Wired Telecommunications Carriers",34,"KPMG LLP",4,,,,"2,400,000",0,0,0,0,,,0,0,"2,400,000",USD,,Uncertain,0,2021-12-31,2021,12,1231,,,10-K,2023-02-23,,,,2021-12-31,"7,952,000,000","586,000,000","618,000,000","28,095,000,000"
"GDS Holdings Ltd",1526125,GDS,"NASDAQ Global Market",,"F4/F5, BUILDING C, SUNLAND INTERNATIONAL","NO. 999 ZHOUHAI ROAD, PUDONG,",SHANGHAI,,F4,CHINA,Foreign,200137,86-21-2029-2200,E9,,,7370,"Services-Computer Programming, Data Processing, Etc.",518210,"Data Processing, Hosting, and Related Services",34,"KPMG LLP",4,"KPMG Huazhen LLP",355,CHINA,"2,400,000",0,0,0,"203,000",,,0,"203,000","2,603,000",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-04-28,42.8,2021-12-29,"7,637,606,912",2021-12-31,"1,226,777,000","-198,461,000","2,642,707,000","11,239,371,000"
"DUKE ENERGY PROGRESS, LLC.",17797,,,560165465,"411 FAYETTEVILLE STREET",,RALEIGH,Wake,NC,"NORTH CAROLINA","US Southeast",27601,"(800) 488-3853",NC,1326160,"Duke Energy CORP",4931,"Electric and Other Services Combined",221122,"Electric Power Distribution",34,"Deloitte & Touche LLP",3,,,,"2,400,000","100,000",0,0,0,,,0,"100,000","2,500,000",USD,,Uncertain,1,2021-12-31,2021,12,1231,,,10-K,2022-02-24,,,,2021-12-31,"5,780,000,000","991,000,000",,"35,383,000,000"
"Global Net Lease, Inc.",1526113,GNL,NYSE,452771978,"650 FIFTH AVE","30TH FLOOR","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10019,"(332) 265-2020",NY,,,6798,"Real Estate Investment Trusts",531120,"Lessors of Nonresidential Buildings (except Miniwarehouses)",34,"PricewaterhouseCoopers LLP",1,,,,"2,400,000",0,0,0,0,,,0,0,"2,400,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-02-25,15.28,2021-12-31,"1,587,598,848",2021-12-31,"391,228,000","11,366,000","850,297,000","4,182,956,000"
"NEW RITE AID, LLC",84129,,PINX,231614034,"1200 INTREPID AVENUE, 2ND FLOOR",,PHILADELPHIA,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",19112,"(717) 761-2633",DE,,,5912,"Drug Stores and Proprietary Stores",446110,"Pharmacies and Drug Stores",34,"Deloitte & Touche LLP",3,,,,"2,400,000","200,000",0,0,0,,,0,"200,000","2,600,000",USD,,,0,2021-02-27,2021,02,0302,,,"DEF 14A",2021-05-20,21.09,2021-03-01,"1,164,681,856",2021-02-27,"24,043,240,000","-90,909,000","-833,501,000","9,335,404,000"
"TELEFONICA BRASIL S.A.",1066119,VIV,NYSE,000000000,"RUA MARTINIANO DE CARVALHO, 851–21º ANDAR",*,"SAO PAULO",,D5,BRAZIL,Foreign,01321-001,"55 11 3430-3687",D5,,,4813,"Telephone Communications, Except Radiotelephone",517110,"Wired Telecommunications Carriers",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers Auditores Independentes",91,BRAZIL,"2,394,578","55,688",0,0,0,,,0,"55,688","2,450,266",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-02-24,8.43,2021-12-29,"14,231,308,288",2021-12-31,"7,905,317,000","1,118,376,000","4,636,066,000","20,765,446,000"
"PAN AMERICAN SILVER CORP",771992,PAAS,NYSE,000000000,"2100-733 SEYMOUR STREET",,VANCOUVER,,A1,"BRITISH COLUMBIA",Canada,"V6B 0S6","(604) 684-1175",A1,,,1040,"Metal Mining",212222,"Silver Ore Mining",34,"Deloitte & Touche LLP",3,"Deloitte LLP",468,ONTARIO,"2,394,100","243,400",0,0,"31,300",,,0,"274,700","2,668,800",USD,,,0,2021-12-31,2021,12,1231,,,40-F,2022-02-24,24.56,2021-12-29,"5,163,952,640",2021-12-31,"1,632,750,000","98,562,000","2,627,655,000","3,518,584,000"
"Cannae Holdings, Inc.",1704720,CNNE,NYSE,821273460,"C/O CANNAE HOLDINGS, INC.","1701 VILLAGE CENTER CIRCLE","LAS VEGAS",Clark,NV,NEVADA,"US West",89134,"(702) 323-7334",DE,,,5810,"Retail-Eating & Drinking Places",722110,"Full-Service Restaurants",34,"Deloitte & Touche LLP",3,,,,"2,394,000",0,0,0,"294,000",,,0,"294,000","2,688,000",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-04-29,35.15,2021-12-31,"3,054,044,160",2021-12-31,"742,200,000","-287,000,000","3,255,000,000","3,889,600,000"
"Roblox Corp",1315098,RBLX,NYSE,200991664,"3150 SOUTH DELAWARE STREET",,"SAN MATEO","San Mateo",CA,CALIFORNIA,"US West",94403,"(888) 858-2569",NV,,,7372,"Prepackaged Software",511210,"Software Publishers",34,"Deloitte & Touche LLP",3,,,,"2,393,000","340,000",0,0,"204,000",,,"2,000","546,000","2,939,000",USD,,,0,2021-12-31,2021,12,1231,,"Russell 1000","DEF 14A",2022-04-04,103.16,2021-12-31,"55,143,247,872",2021-12-31,"1,919,181,000","-491,651,000","407,080,000","4,560,596,000"
"Loyalty Ventures Inc.",1870997,,PINX,871353472,"8235 DOUGLAS AVENUE","SUITE 1200",DALLAS,Dallas,TX,TEXAS,"US Southwest",75225,"(972) 338-5170",DE,,,7389,"Business Services, NEC",541511,"Custom Computer Programming Services",34,"Deloitte & Touche LLP",3,,,,"2,392,993",0,0,0,0,,,"1,895","1,895","2,394,888",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-14,29.97,2021-12-29,"736,819,584",2021-12-31,"735,307,000","1,724,000","-506,489,000","2,323,727,000"
"RADIUS RECYCLING, INC.",912603,,NAS,930341923,"222 SW COLUMBIA ST","SUITE 1150",PORTLAND,Multnomah,OR,OREGON,"US West",97201,"(503) 224-9900",OR,,,5090,"Wholesale-Misc Durable Goods",331111,"Iron and Steel Mills",34,"PricewaterhouseCoopers LLP",1,,,,"2,389,268",0,0,0,0,,,"122,942","122,942","2,512,210",USD,,,0,2021-08-31,2021,08,0831,,"Russell 2000","DEF 14A",2021-12-15,47.31,2021-08-31,"1,293,076,864",2021-08-31,"2,758,551,000","165,112,000","661,480,000","1,494,363,000"
"RadNet, Inc.",790526,RDNT,"NASDAQ Global Market",133326724,"1510 COTNER AVE",,"LOS ANGELES","Los Angeles",CA,CALIFORNIA,"US West",90025,"(310) 478-7808",DE,,,8071,"Medical Laboratories",621512,"Diagnostic Imaging Centers",34,"Ernst & Young LLP",2,,,,"2,387,000","371,500",0,0,"808,961","613,976","194,985","3,600","1,184,061","3,571,061",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-04-29,30.11,2021-12-31,"1,612,337,152",2021-12-31,"1,324,187,000","24,727,000","-341,519,000","2,058,474,000"
"ALNYLAM PHARMACEUTICALS, INC.",1178670,ALNY,"NASDAQ Global Select Market",770602661,"675 WEST KENDALL STREET","HENRI A. TERMEER SQUARE",CAMBRIDGE,Middlesex,MA,MASSACHUSETTS,"US New England",02142,"(617) 551-8200",DE,,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,"PricewaterhouseCoopers LLP",1,,,,"2,385,544",0,0,0,"70,000",,,"2,756","72,756","2,458,300",USD,,,0,2021-12-31,2021,12,1231,,"Russell 1000","DEF 14A",2022-04-05,169.58,2021-12-31,"20,380,463,104",2021-12-31,"844,287,000","-852,824,000",,"3,643,304,000"
"PROGRESS SOFTWARE CORP /MA",876167,PRGS,"NASDAQ Global Select Market",042746201,"15 WAYSIDE ROAD, SUITE 400",,BURLINGTON,Middlesex,MA,MASSACHUSETTS,"US New England",01803,"(781) 280-4473",DE,,,7372,"Prepackaged Software",541511,"Custom Computer Programming Services",34,"Deloitte & Touche LLP",3,,,,"2,384,021","225,000",0,0,"5,932",,,0,"230,932","2,614,953",USD,,,0,2021-11-30,2021,11,1130,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-04-13,48.45,2021-11-30,"2,138,883,072",2021-11-30,"531,313,000","78,420,000","-545,848,000","1,363,537,000"
"ALABAMA POWER CO",3153,,NYS,630004250,"600 N 18TH ST","P O BOX 2641",BIRMINGHAM,Jefferson,AL,ALABAMA,"US Southeast",35291,"(205) 257-1000",AL,92122,"SOUTHERN CO",4911,"Electric Services",221122,"Electric Power Distribution",34,"Deloitte & Touche LLP",3,,,,"2,383,000","19,000",0,0,0,,,"451,000","470,000","2,853,000",USD,,Uncertain,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-03-17,,,,2021-12-31,"6,413,000,000","1,253,000,000",,"32,982,000,000"
"ALAMO GROUP INC",897077,ALG,NYSE,741621248,"1627 E WALNUT",,SEGUIN,Guadalupe,TX,TEXAS,"US Southwest",78155,"(830) 379-1480",DE,,,3523,"Farm Machinery and Equipment",333111,"Farm Machinery and Equipment Manufacturing",34,"KPMG LLP",4,,,,"2,382,000",0,0,0,"1,094,000",,,0,"1,094,000","3,476,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-03-17,147.18,2021-12-31,"1,747,641,472",2021-12-31,"1,334,223,000","80,245,000","319,791,000","1,205,742,000"
"Horizon Global Corp",1637655,,NYS,473574483,"47912 HALYARD DRIVE","SUITE 100",PLYMOUTH,Wayne,MI,MICHIGAN,"US Midwest",48170,"(734) 656-3000",,,,3714,"Motor Vehicle Parts and Accessories",518210,"Data Processing, Hosting, and Related Services",34,"Deloitte & Touche LLP",3,,,,"2,380,000","25,000",0,0,0,,,"5,000","30,000","2,410,000",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-14,7.98,2021-12-31,"217,747,440",2021-12-31,"782,120,000","-31,720,000","-82,600,000","438,920,000"
"Accolade, Inc.",1481646,,NAS,010969591,"660 W. GERMANTOWN PIKE SUITE 500",,"PLYMOUTH MEETING",Montgomery,PA,PENNSYLVANIA,"US Mid Atlantic",19462,"(610) 834-2989",DE,,,7389,"Business Services, NEC",611710,"Educational Support Services",34,"KPMG LLP",4,,,,"2,380,000",0,0,0,"81,170",,,0,"81,170","2,461,170",USD,,,0,2021-02-28,2021,02,0228,,,"DEF 14A",2021-06-25,44.32,2021-02-28,"2,468,581,888",2021-02-28,"170,358,000","-50,652,000","386,231,000","475,510,000"
"Academy Sports & Outdoors, Inc.",1817358,ASO,"NASDAQ Global Select Market",851800912,"1800 NORTH MASON ROAD",,KATY,Harris,TX,TEXAS,"US Southwest",77449,"(281) 646-5200",DE,,,5940,"Retail-Miscellaneous Shopping Goods Stores",451110,"Sporting Goods Stores",34,"Deloitte & Touche LLP",3,,,,"2,380,000","1,792,500",0,0,"646,020",,,"193,790","2,632,310","5,012,310",USD,,,0,2021-01-30,2021,01,0131,"S&P 600 SmallCap","Russell 2000","DEF 14A",2021-04-23,21.5,2021-01-31,"1,958,961,152",2021-01-30,"5,689,233,000","308,764,000","-326,937,000","4,384,482,000"
"UP Fintech Holding Ltd",1756699,TIGR,"NASDAQ Global Select Market",,"18F,NO.16 TAIYANGGONG RD,CHAOYANG DIST.",,BEIJING,,F4,CHINA,Foreign,100020,86-10-56216660,E9,,,6211,"Security Brokers, Dealers, and Flotation Companies",523120,"Securities Brokerage",34,"KPMG LLP",4,"KPMG Huazhen LLP",355,CHINA,"2,380,000",0,0,0,"47,000",,,0,"47,000","2,427,000",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-04-28,4.91,2021-12-31,"674,302,464",2021-12-31,"246,109,339","14,690,701","444,133,200","3,321,418,656"
"Rimini Street, Inc.",1635282,RMNI,"NASDAQ Global Market",364880301,"1700 S. PAVILION CENTER DR.","SUITE 330","LAS VEGAS",Clark,NV,NEVADA,"US West",89135,"(702) 839-9671",DE,,,7389,"Business Services, NEC",541511,"Custom Computer Programming Services",34,"KPMG LLP",4,,,,"2,378,500",0,0,0,0,,,"2,730","2,730","2,381,230",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-04-29,5.97,2021-12-31,"520,028,800",2021-12-31,"374,430,000","75,219,000",,"391,262,000"
"AURORA CANNABIS INC",1683541,ACB,"NASDAQ Capital Market",0000000,"2207 90B STREET SW",,EDMONTON,,A0,ALBERTA,Canada,"T6X 1V8","(604) 362-5207",A1,,,2833,"Medicinal Chemicals and Botanical Products",111419,"Other Food Crops Grown Under Cover",34,"KPMG LLP",4,"KPMG LLP Chartered Accountants",187,ONTARIO,"2,373,734",0,0,0,"278,529",,,0,"278,529","2,652,263",USD,,,0,2021-06-30,2021,06,0630,,,40-F,2021-09-27,8.62,2021-07-02,"993,272,320",2021-06-30,"198,055,000","-561,325,000","631,926,000","2,103,473,000"
"CENOVUS ENERGY INC.",1475260,CVE,NYSE,000000000,"225 - 6 AVENUE S.W.","P.O. BOX 766",CALGARY,,A0,ALBERTA,Canada,"T2P 1N2","(403) 766-2000",,,,1311,"Crude Petroleum and Natural Gas",211111,"Crude Petroleum and Natural Gas Extraction",34,"PricewaterhouseCoopers LLP",1,"PricewaterhouseCoopers LLP Chartered Accountants",191,ONTARIO,"2,372,743","169,140",0,0,"754,746",,,"20,744","944,630","3,317,373",USD,,,0,2021-12-31,2021,12,1231,,,40-F,2022-02-08,12.17,2021-12-29,"14,955,346,944",2021-12-31,"36,700,000,000","465,000,000","15,932,000,000","42,833,000,000"
"HOST HOTELS & RESORTS, INC.",1070750,HST,NYSE,530085950,"4747 BETHESDA AVENUE","SUITE 1300",BETHESDA,Montgomery,MD,MARYLAND,"US Mid Atlantic",20814,"(240) 744-1000",MD,,,6798,"Real Estate Investment Trusts",531120,"Lessors of Nonresidential Buildings (except Miniwarehouses)",34,"KPMG LLP",4,,,,"2,370,000","81,000",0,0,0,,,0,"81,000","2,451,000",USD,Yes,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-04-06,17.39,2021-12-31,"12,418,198,528",2021-12-31,"2,890,000,000","-11,000,000",,"12,352,000,000"
"VIRGINIA ELECTRIC & POWER CO",103682,,,540418825,"600 EAST CANAL STREET",,RICHMOND,"Richmond City",VA,VIRGINIA,"US Mid Atlantic",23219,"(804) 819-2000",VA,715957,"DOMINION ENERGY, INC",4911,"Electric Services",221121,"Electric Bulk Power Transmission and Control",34,"Deloitte & Touche LLP",3,,,,"2,370,000",0,0,0,"40,000",,,0,"40,000","2,410,000",USD,,Yes,0,2021-12-31,2021,12,1231,,,10-K,2022-02-24,,,,2021-12-31,"7,470,000,000","1,662,000,000","15,585,000,000","47,932,000,000"
"Zscaler, Inc.",1713683,ZS,"NASDAQ Global Select Market",261173892,"120 HOLGER WAY",,"SAN JOSE","Santa Clara",CA,CALIFORNIA,"US West",95134,"(408) 533-0288",DE,,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,"PricewaterhouseCoopers LLP",1,,,,"2,367,883","2,895",0,0,0,,,"2,700","5,595","2,373,478",USD,,,0,2021-07-31,2021,07,0731,,"Russell 1000","DEF 14A",2021-11-24,235.91,2021-07-31,"32,711,751,680",2021-07-31,"673,100,000","-262,029,000","437,789,000","2,257,631,000"
"TEXAS CAPITAL BANCSHARES INC/TX",1077428,TCBI,"NASDAQ Global Select Market",752679109,"2000 MCKINNEY AVE","SUITE 700",DALLAS,Dallas,TX,TEXAS,"US Southwest",75201,"(214) 932-6600",,,,6022,"State Commercial Banks",522110,"Commercial Banking",34,"Ernst & Young LLP",2,,,,"2,366,000",0,0,0,"458,000",,,0,"458,000","2,824,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 2000","DEF 14A",2022-03-10,60.25,2021-12-31,"3,049,764,352",2021-12-31,"937,067,000","253,939,000","3,192,354,000","34,731,738,000"
"TERMINIX GLOBAL HOLDINGS INC",1428875,,NYS,208738320,"150 PEABODY PLACE",,MEMPHIS,Shelby,TN,TENNESSEE,"US Southeast",38103-3720,"(901) 597-1400",,,,8741,"Management Services",561710,"Exterminating and Pest Control Services",34,"Deloitte & Touche LLP",3,,,,"2,365,000","6,000",0,0,"38,000",,,0,"44,000","2,409,000",USD,Yes,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-04-08,45.23,2021-12-31,"5,484,532,224",2021-12-31,"2,045,000,000","125,000,000","-932,000,000","4,412,000,000"
"PennyMac Mortgage Investment Trust",1464423,PMT,NYSE,270186273,"3043 TOWNSGATE ROAD",,"WESTLAKE VILLAGE",Ventura,CA,CALIFORNIA,"US West",91361,"(818) 224-7442",MD,,,6798,"Real Estate Investment Trusts",525990,"Other Financial Vehicles",34,"Deloitte & Touche LLP",3,,,,"2,364,654","297,505",0,0,"218,457",,,"472,500","988,462","3,353,116",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-04-13,17.33,2021-12-31,"1,644,569,472",2021-12-31,"478,544,000","56,854,000",,"13,772,708,000"
"ProPetro Holding Corp.",1680247,PUMP,NYSE,263685382,"P.O. BOX 873",,MIDLAND,Midland,TX,TEXAS,"US Southwest",79702,"(432) 688-0012",TX,,,1389,"Oil and Gas Field Services, NEC",213112,"Support Activities for Oil and Gas Operations",34,"Deloitte & Touche LLP",3,,,,"2,363,746",0,0,0,0,,,"195,758","195,758","2,559,504",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-03-07,8.1,2021-12-31,"837,841,152",2021-12-31,"874,514,000","-54,185,000",,"1,061,236,000"
"Penumbra Inc",1321732,PEN,NYSE,050605598,"ONE PENUMBRA PLACE",,ALAMEDA,Alameda,CA,CALIFORNIA,"US West",94502,"(510) 995-2486",DE,,,3841,"Surgical and Medical Instruments and Apparatus",339113,"Surgical Appliance and Supplies Manufacturing",34,"Deloitte & Touche LLP",3,,,,"2,363,075",0,0,0,"339,302",,,0,"339,302","2,702,377",USD,,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 1000","DEF 14A",2022-04-20,287.32,2021-12-31,"10,797,049,856",2021-12-31,"747,590,000","5,284,000","696,921,000","1,244,250,000"
"NETSCOUT SYSTEMS INC",1078075,NTCT,"NASDAQ Global Select Market",042837575,"310 LITTLETON ROAD",,WESTFORD,Middlesex,MA,MASSACHUSETTS,"US New England",01886,"(978) 614-4000",DE,,,7373,"Computer Integrated Systems Design",541512,"Computer Systems Design Services",34,"PricewaterhouseCoopers LLP",1,,,,"2,362,952","294,000",0,0,"152,616",,,"2,756","449,372","2,812,324",USD,,,0,2021-03-31,2021,03,0331,"S&P 600 SmallCap","Russell 2000","DEF 14A",2021-07-21,28.16,2021-03-31,"2,076,845,440",2021-03-31,"831,282,000","19,352,000","-223,641,000","3,085,038,000"
"Crescent Energy Co",1866175,CRGY,NYSE,871133610,"600 TRAVIS STREET","SUITE 7200",HOUSTON,Harris,TX,TEXAS,"US Southwest",77002,"(713) 332-7001",DE,,,1311,"Crude Petroleum and Natural Gas",551112,"Offices of Other Holding Companies",34,"Deloitte & Touche LLP",3,,,,"2,360,000","275,000",0,0,"2,103,000",,,0,"2,378,000","4,738,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000",10-K,2022-03-10,12.68,2021-12-31,"531,981,600",2021-12-31,"1,476,977,000","-358,544,000","2,930,658,000","5,157,462,000"
"Arcosa, Inc.",1739445,ACA,NYSE,825339416,"500 N. AKARD SREET","SUITE 400",DALLAS,Dallas,TX,TEXAS,"US Southwest",75201,"(972) 942-6500",DE,,,3440,"Fabricated Structural Metal Products",327992,"Ground or Treated Mineral and Earth Manufacturing",34,"Ernst & Young LLP",2,,,,"2,358,345","46,614",0,0,"100,000",,,0,"146,614","2,504,959",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-03-22,52.7,2021-12-31,"2,545,410,048",2021-12-31,"2,036,400,000","69,600,000","798,100,000","3,188,100,000"
"Anaplan, Inc.",1540755,,NYS,270897861,"50 HAWTHORNE STREET",,"SAN FRANCISCO","San Francisco",CA,CALIFORNIA,"US West",94105,"(415) 742-8199",DE,,,7372,"Prepackaged Software",511210,"Software Publishers",34,"KPMG LLP",4,,,,"2,352,969",0,0,0,0,,,"20,000","20,000","2,372,969",USD,,,0,2021-01-31,2021,01,0131,,,"DEF 14A",2021-04-21,66.7,2021-01-31,"9,571,582,976",2021-01-31,"447,755,000","-153,967,000","245,634,000","739,125,000"
"ARES CAPITAL CORP",1287750,ARCC,"NASDAQ Global Select Market",331089684,"245 PARK AVENUE, 44TH FLOOR",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10167,"(212) 750-7300",MD,,,,,525990,"Other Financial Vehicles",34,"KPMG LLP",4,,,,"2,352,000","102,000",0,0,"650,960",,,0,"752,960","3,104,960",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-03-18,20.85,2021-12-29,"9,606,719,488",2021-12-31,"1,448,000,000","1,567,000,000",,"20,843,000,000"
