Company,"CIK Code",Ticker,Market,"S&P Index","Russell Index","Bus Street 1","Bus Street 2",City,County,"State Code","State Name","State Region",Zip,"Bus Phone","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","Audit Opinion Key",Auditor,"Auditor Key","Auditor PCAOB Registration Number","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate PCAOB Registration Number","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region","Year Ended Date","Year Ended (Ideal)","Month Ended (Ideal)","Signature Date",Source,"Source Date","Going Concern","Going Concern Issue Key List","Going Concern Issue Phrase List","Total CAMS in Opinion","Accounting Basis","Is Integrated Audit","Is Additional Opinion","Additional Signature Date 1","Additional Signature Date 2","Additional Signature Date 3","Additional Signature Date 4","Additional Signature Date 5","Auditor Since Year","Auditor Since Code","Predecessor Auditor Since Year","Predecessor Auditor Since Code","Filer Status","Fees Fiscal Year Ended","Audit Fees ($)","Non-Audit Fees ($)","Total Fees ($)","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)",,,,,
"T. Rowe Price Retirement Funds, Inc.",1177017,,,,,"1307 POINT STREET",,BALTIMORE,"Baltimore City",MD,MARYLAND,"US Mid Atlantic",21231,"(410) 345-2000",,,,,525910,"Open-End Investment Funds",40,569094,"PricewaterhouseCoopers LLP",1,0238,,,,Baltimore,MD,MARYLAND,"US Mid Atlantic",2025-05-31,2025,05,2025-07-18,N-CSR,2025-07-24,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"15,774",0,"15,774",,,,,,,,,,,,,,
"Nuveen Churchill BDC V",2071136,,,,,"375 PARK AVENUE, 9TH FLOOR",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10152,"(212) 478-9200",,,,,,,34,569606,"PricewaterhouseCoopers LLP",1,0238,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-07-08,2025,6,2025-07-18,10-12G/A,2025-08-01,No,,,,"GAAP - US",No,Yes,,,,,,2025,Since,,,,,,,,,,,,,,,,,,,,,
"FT 12350",2066132,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,569862,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-08-06,2025,7,2025-08-06,487,2025-08-06,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TPG Private Markets Fund",2060934,,,,,"60 EAST 42ND STREET, 26TH FLOOR",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10165,"(212) 994-7344",,,,,,,33,570118,"Deloitte & Touche LLP",3,0034,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-06-23,2025,06,2025-06-30,424B3,2025-08-08,No,,,,"GAAP - US",No,Yes,,,,,,2014,Since,,,,,,,,,,,,,,,,,,,,,
"JANUS INVESTMENT FUND",277751,,,,,"151 DETROIT STREET",,DENVER,Denver,CO,COLORADO,"US West",80206,"(303) 333-3863",,,,,525990,"Other Financial Vehicles",40,571142,"PricewaterhouseCoopers LLP",1,0238,,,,Denver,CO,COLORADO,"US West",2025-06-30,2025,06,2025-08-21,N-CSR,2025-08-29,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"989,752","246,562","1,236,314",,,,,,,,,,,,,,
"LORD ABBETT US GOV & GOV SPONSORED ENTERPR MONEY MARKET FUND",311635,,,,,"30 HUDSON STREET",,"JERSEY CITY",Hudson,NJ,"NEW JERSEY","US Mid Atlantic",07302,"(201) 827-2000",,,,,525910,"Open-End Investment Funds",40,571398,"Deloitte & Touche LLP",3,0034,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-06-30,2025,06,2025-08-27,N-CSR,2025-09-03,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"33,000",0,"33,000",,,,,,,,,,,,,,
"FT 12444",2071675,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,572934,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-09-25,2025,09,2025-09-25,S-6/A,2025-09-25,No,,,,"GAAP - US",No,No,,,,,,2001,Since,,,,,,,,,,,,,,,,,,,,,
"FIRST TRUST EXCHANGE-TRADED ALPHADEX FUND",1383496,,,,,"120 EAST LIBERTY DRIVE, SUITE 400",,WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,525910,"Open-End Investment Funds",40,573702,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-07-31,2025,07,2025-09-19,N-CSR,2025-10-07,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"400,000","175,171","575,171",,,,,,,,,,,,,,
"LEGG MASON PARTNERS INSTITUTIONAL TRUST",889512,,,,,"LEGG MASON & CO., LLC","620 EIGHTH AVENUE","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10018,1-877-721-1926,,,,,525990,"Other Financial Vehicles",40,574726,"PricewaterhouseCoopers LLP",1,0238,,,,Baltimore,MD,MARYLAND,"US Mid Atlantic",2025-08-31,2025,08,2025-10-22,N-CSR,2025-10-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHS INC",823277,CHSCP,"NASDAQ Global Select Market",,,"5500 CENEX DRIVE",,"INVER GROVE HEIGHTS",Dakota,MN,MINNESOTA,"US Midwest",55077,"(651) 355-6000",,,5150,"Wholesale-Farm Product Raw Materials",424590,"Other Farm Product Raw Material Merchant Wholesalers",34,574982,"PricewaterhouseCoopers LLP",1,0238,,,,Minneapolis,MN,MINNESOTA,"US Midwest",2025-08-31,2025,08,2025-11-05,10-K,2025-11-05,No,,,1,"GAAP - US",No,No,,,,,,1998,Since,,,"Non-Accelerated Filer",2025,"5,559,000","362,000","5,921,000",27.75,2025-11-28,,2025-08-31,"35,462,608,000","597,917,000",,"18,863,849,000",,,,,,
"SMALLCAP WORLD FUND INC",858744,,,,,"6455 IRVINE CENTER DRIVE",,IRVINE,Orange,CA,CALIFORNIA,"US West",92618,"(213) 486-9501",,,,,525990,"Other Financial Vehicles",40,576262,"Deloitte & Touche LLP",3,0034,,,,"Costa Mesa",CA,CALIFORNIA,"US West",2025-09-30,2025,09,2025-11-10,N-CSR,2025-11-28,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"250,000","79,000","329,000",,,,,,,,,,,,,,
"FT 12178",2054729,,,,,"C/O FIRST TRUST PORTFOLIOS L.P.","120 EAST LIBERTY DRIVE, SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,564231,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-05-02,2025,4,2025-05-02,487,2025-05-02,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JOHN HANCOCK CURRENT INTEREST",26262,,,,,"C/O JOHN HANCOCK FUNDS","200 BERKELEY STREET",BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02116,"(617) 663-3000",,,,,525990,"Other Financial Vehicles",40,565511,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-03-31,2025,03,2025-05-13,N-CSR,2025-05-21,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"36,420","3,958","40,378",,,,,,,,,,,,,,
"IVY FUNDS",883622,,,,,"100 INDEPENDENCE","610 MARKET STREET",PHILADELPHIA,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",19106-2354,"=""18005231918""",,,,,525990,"Other Financial Vehicles",40,566279,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-03-31,2025,03,2025-05-30,N-CSR,2025-06-05,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"592,700","1,477,169","2,069,869",,,,,,,,,,,,,,
"PUTNAM MUNICIPAL OPPORTUNITIES TRUST",900422,PMO,NYS,,,"100 FEDERAL STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02110,"(617) 292-1000",,,,,525990,"Other Financial Vehicles",40,567559,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-04-30,2025,04,2025-06-20,N-CSR,2025-06-27,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"64,772","16,000","80,772",9.94,2025-04-30,,2025-04-30,"10,753,584",,,"457,564,684",,,,,,
"T. Rowe Price Retirement Funds, Inc.",1177017,,,,,"1307 POINT STREET",,BALTIMORE,"Baltimore City",MD,MARYLAND,"US Mid Atlantic",21231,"(410) 345-2000",,,,,525910,"Open-End Investment Funds",40,569095,"PricewaterhouseCoopers LLP",1,0238,,,,Baltimore,MD,MARYLAND,"US Mid Atlantic",2025-05-31,2025,05,2025-07-18,N-CSR,2025-07-24,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"15,774",0,"15,774",,,,,,,,,,,,,,
"FT 12394",2066957,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,569863,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-08-06,2025,7,2025-08-06,487,2025-08-06,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JANUS INVESTMENT FUND",277751,,,,,"151 DETROIT STREET",,DENVER,Denver,CO,COLORADO,"US West",80206,"(303) 333-3863",,,,,525990,"Other Financial Vehicles",40,571143,"PricewaterhouseCoopers LLP",1,0238,,,,Denver,CO,COLORADO,"US West",2025-06-30,2025,06,2025-08-21,N-CSR,2025-08-29,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"989,752","246,562","1,236,314",,,,,,,,,,,,,,
"John Hancock Funds II",1331971,,,,,"C/O JOHN HANCOCK FUNDS","200 BERKELEY STREET",BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02116,"(617) 663-2166",,,,,525910,"Open-End Investment Funds",40,572167,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-07-31,2025,07,2025-09-05,N-CSR,2025-09-15,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"153,700","10,414","164,114",,,,,,,,,,,,,,
"WEALTHFRONT Corp",1524566,WLTH,,,,"261 HAMILTON AVE",,"PALO ALTO","Santa Clara",CA,CALIFORNIA,"US West",94301,"(844) 995-8437",,,6199,"Finance Services",,,33,573191,"Ernst & Young LLP",2,0042,,,,"San Francisco",CA,CALIFORNIA,"US West",2025-01-31,2025,01,2025-06-18,DRS/A,2025-09-23,No,,,,"GAAP - US",No,Yes,,,,,,2016,Since,,,,,,,,,,,2025-01-31,"306,049,000","173,881,000",,"435,206,000",,,,,,
"JOHN HANCOCK PREFERRED INCOME FUND II",1189740,HPF,NYS,,,"C/O JOHN HANCOCK FUNDS","200 BERKELEY STREET",BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02116,"(617) 663-3000",,,,,525990,"Other Financial Vehicles",40,573447,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-07-31,2025,07,2025-09-24,N-CSR,2025-10-02,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"58,362","4,394","62,756",16.04,2025-07-31,,2025-07-31,"29,772,703",,,"551,284,403",,,,,,
"FIRST TRUST EXCHANGE-TRADED ALPHADEX FUND",1383496,,,,,"120 EAST LIBERTY DRIVE, SUITE 400",,WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,525910,"Open-End Investment Funds",40,573703,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-07-31,2025,07,2025-09-19,N-CSR,2025-10-07,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"400,000","175,171","575,171",,,,,,,,,,,,,,
"RJ Private Credit Income Fund",2047636,,,,,"C/O CORPORATION SERVICE COMPANY","251 LITTLE FALLS DRIVE",WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19808,"(727) 567-4677",,,,,,,40,573959,"PricewaterhouseCoopers LLP",1,0238,,,,Tampa,FL,FLORIDA,"US Southeast",2025-10-02,2025,9,2025-10-14,N-2/A,2025-10-14,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"First Eagle Completion Fund Trust",2060415,,,,,"1345 AVENUE OF AMERICAS",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10105,"(212) 698-3300",,,,,,,40,574215,"PricewaterhouseCoopers LLP",1,0238,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-08-20,2025,08,2025-09-26,485BPOS,2025-10-21,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AIM TREASURER'S SERIES TRUST (INVESCO TREASURER'S SERIES TRUST)",828806,,,,,"11 GREENWAY PLAZA","SUITE 1000",HOUSTON,Harris,TX,TEXAS,"US Southwest",77046,"(713) 626-1919",,,,,525990,"Other Financial Vehicles",40,575239,"PricewaterhouseCoopers LLP",1,0238,,,,Houston,TX,TEXAS,"US Southwest",2025-08-31,2025,08,2025-10-24,N-CSR,2025-11-07,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"44,680","28,634","73,314",,,,,,,,,,,,,,
"Eagle Point Enhanced Income Trust",1992148,,,,,"600 STEAMBOAT ROAD","SUITE 202",GREENWICH,Fairfield,CT,CONNECTICUT,"US New England",06830,"(203) 340-8500",,,,,525990,"Other Financial Vehicles",40,576263,"KPMG LLP",4,0185,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-09-30,2025,09,2025-11-26,N-CSR,2025-11-28,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"160,076","96,486","256,562",,,,,,,,,,,,,,
"NUVEEN SELECT TAX FREE INCOME PORTFOLIO",883618,NXP,NYS,,,"333 W WACKER DR",,CHICAGO,Cook,IL,ILLINOIS,"US Midwest",60606,"(312) 917-8200",,,,,525990,"Other Financial Vehicles",40,566280,"PricewaterhouseCoopers LLP",1,0238,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-03-31,2025,03,2025-05-28,N-CSR,2025-06-05,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"26,600",0,"26,600",14.37,2025-03-31,,2025-03-31,"9,880,662",,,"755,134,842",,,,,,
"FRANKLIN STRATEGIC SERIES",872625,,,,,"ONE FRANKLIN PARKWAY",,"SAN MATEO","San Mateo",CA,CALIFORNIA,"US West",94403-1906,"(650) 570-3000",,,,,525990,"Other Financial Vehicles",40,567560,"PricewaterhouseCoopers LLP",1,0238,,,,"San Francisco",CA,CALIFORNIA,"US West",2025-04-30,2025,04,2025-06-18,N-CSR,2025-06-27,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"433,006","60,750","493,756",,,,,,,,,,,,,,
"T. Rowe Price Global Multi-Sector Bond Fund, Inc.",1447346,,,,,"1307 POINT STREET",,BALTIMORE,"Baltimore City",MD,MARYLAND,"US Mid Atlantic",21231,"(410) 345-2000",,,,,525910,"Open-End Investment Funds",40,569096,"PricewaterhouseCoopers LLP",1,0238,,,,Baltimore,MD,MARYLAND,"US Mid Atlantic",2025-05-31,2025,05,2025-07-18,N-CSR,2025-07-24,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"40,201",0,"40,201",,,,,,,,,,,,,,
"JANUS INVESTMENT FUND",277751,,,,,"151 DETROIT STREET",,DENVER,Denver,CO,COLORADO,"US West",80206,"(303) 333-3863",,,,,525990,"Other Financial Vehicles",40,571144,"PricewaterhouseCoopers LLP",1,0238,,,,Denver,CO,COLORADO,"US West",2025-06-30,2025,06,2025-08-21,N-CSR,2025-08-29,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"989,752","246,562","1,236,314",,,,,,,,,,,,,,
"John Hancock Funds II",1331971,,,,,"C/O JOHN HANCOCK FUNDS","200 BERKELEY STREET",BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02116,"(617) 663-2166",,,,,525910,"Open-End Investment Funds",40,572168,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-07-31,2025,07,2025-09-05,N-CSR,2025-09-15,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"153,700","10,414","164,114",,,,,,,,,,,,,,
"FT 12458",2071689,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,572680,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-09-22,2025,09,2025-09-22,487,2025-09-22,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stone Point Credit Income Fund - Select",2077250,,,,,"20 HORSENECK LANE",,GREENWICH,Fairfield,CT,CONNECTICUT,"US New England",06830,"(203) 340-8763",,,,,,,34,573192,"KPMG LLP",4,0185,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-06-30,2025,06,2025-09-26,10-12G/A,2025-09-26,No,,,,"GAAP - US",No,No,,,,,,2025,Since,,,,,,,,,,,,,,,,,,,,,
"FIRST TRUST EXCHANGE-TRADED FUND III",1424212,,,,,"120 EAST LIBERTY DRIVE","SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,525910,"Open-End Investment Funds",40,573704,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-07-31,2025,07,2025-09-23,N-CSR,2025-10-07,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"296,000","104,140","400,140",,,,,,,,,,,,,,
"FT 12484",2075416,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,573960,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-10-14,2025,9,2025-10-14,487,2025-10-14,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Infosys Ltd",1067491,INFY,NYSE,,,"ELECTRONICS CITY, HOSUR ROAD",*,BANGALORE,,K7,INDIA,Foreign,"560 100",+91-80-2852-0261,,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,574216,"Deloitte & Touche LLP",3,0034,"Deloitte Haskins & Sells LLP",16,1180,Bengaluru,K7,INDIA,Foreign,2025-09-30,2025,09,2025-10-16,6-K,2025-10-21,No,,,,"GAAP - India",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LEGG MASON PARTNERS INSTITUTIONAL TRUST",889512,,,,,"LEGG MASON & CO., LLC","620 EIGHTH AVENUE","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10018,1-877-721-1926,,,,,525990,"Other Financial Vehicles",40,574728,"PricewaterhouseCoopers LLP",1,0238,,,,Baltimore,MD,MARYLAND,"US Mid Atlantic",2025-08-31,2025,08,2025-10-22,N-CSR,2025-10-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AIM TREASURER'S SERIES TRUST (INVESCO TREASURER'S SERIES TRUST)",828806,,,,,"11 GREENWAY PLAZA","SUITE 1000",HOUSTON,Harris,TX,TEXAS,"US Southwest",77046,"(713) 626-1919",,,,,525990,"Other Financial Vehicles",40,575240,"PricewaterhouseCoopers LLP",1,0238,,,,Houston,TX,TEXAS,"US Southwest",2025-08-31,2025,08,2025-10-24,N-CSR,2025-11-07,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"44,680","28,634","73,314",,,,,,,,,,,,,,
"Eagle Point Defensive Income Trust",2013536,,,,,"600 STEAMBOAT ROAD, SUITE 202",,GREENWICH,Fairfield,CT,CONNECTICUT,"US New England",06830,"(203) 340-8500",,,,,525990,"Other Financial Vehicles",40,576264,"KPMG LLP",4,0185,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-09-30,2025,09,2025-11-26,N-CSR,2025-11-28,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"238,429","93,618","332,047",,,,,,,,,,,,,,
"BLACKROCK FUNDS",844779,,,,,"100 BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(800) 441-7762",,,,,525990,"Other Financial Vehicles",40,566281,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-03-31,2025,03,2025-05-22,N-CSR,2025-06-05,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"24,442","12,000","36,442",,,,,,,,,,,,,,
"CASH ACCOUNT TRUST",858372,,,,,"875 THIRD AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10022-6225,"(212) 454-4500",,,,,525910,"Open-End Investment Funds",40,567561,"Ernst & Young LLP",2,0042,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-04-30,2025,04,2025-06-18,N-CSR,2025-06-27,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"28,722","5,969","34,691",,,,,,,,,,,,,,
"T. Rowe Price Retirement Funds, Inc.",1177017,,,,,"1307 POINT STREET",,BALTIMORE,"Baltimore City",MD,MARYLAND,"US Mid Atlantic",21231,"(410) 345-2000",,,,,525910,"Open-End Investment Funds",40,569097,"PricewaterhouseCoopers LLP",1,0238,,,,Baltimore,MD,MARYLAND,"US Mid Atlantic",2025-05-31,2025,05,2025-07-18,N-CSR,2025-07-24,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"15,774",0,"15,774",,,,,,,,,,,,,,
"NB Asset-Based Credit Fund",2041175,,,,,"1290 AVENUE OF THE AMERICAS",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10104,"(212) 476-9000",,,,,,,40,570633,"Ernst & Young LLP",2,0042,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-06-01,2025,5,2025-07-09,424B3,2025-08-20,No,,,,"GAAP - US",No,Yes,,,,,,1954,Since,,,,,,,,,,,,,,,,,,,,,
"JANUS INVESTMENT FUND",277751,,,,,"151 DETROIT STREET",,DENVER,Denver,CO,COLORADO,"US West",80206,"(303) 333-3863",,,,,525990,"Other Financial Vehicles",40,571145,"PricewaterhouseCoopers LLP",1,0238,,,,Denver,CO,COLORADO,"US West",2025-06-30,2025,06,2025-08-21,N-CSR,2025-08-29,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"989,752","246,562","1,236,314",,,,,,,,,,,,,,
"JOHN HANCOCK PREFERRED INCOME FUND III",1215913,HPS,NYS,,,"C/O JOHN HANCOCK FUNDS","200 BERKELEY STREET",BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02116,"(617) 663-3000",,,,,525990,"Other Financial Vehicles",40,573449,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-07-31,2025,07,2025-09-24,N-CSR,2025-10-02,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"58,400","4,394","62,794",14.38,2025-07-31,,2025-07-31,"39,357,150",,,"734,403,595",,,,,,
"FIRST TRUST EXCHANGE-TRADED FUND III",1424212,,,,,"120 EAST LIBERTY DRIVE","SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,525910,"Open-End Investment Funds",40,573705,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-07-31,2025,07,2025-09-22,N-CSR,2025-10-07,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"296,000","104,140","400,140",,,,,,,,,,,,,,
"Infosys Ltd",1067491,INFY,NYSE,,,"ELECTRONICS CITY, HOSUR ROAD",*,BANGALORE,,K7,INDIA,Foreign,"560 100",+91-80-2852-0261,,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,574217,"Deloitte & Touche LLP",3,0034,"Deloitte Haskins & Sells LLP",16,1180,Bengaluru,K7,INDIA,Foreign,2025-09-30,2025,09,2025-10-16,6-K,2025-10-21,No,,,,"GAAP - India",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AIM TREASURER'S SERIES TRUST (INVESCO TREASURER'S SERIES TRUST)",828806,,,,,"11 GREENWAY PLAZA","SUITE 1000",HOUSTON,Harris,TX,TEXAS,"US Southwest",77046,"(713) 626-1919",,,,,525990,"Other Financial Vehicles",40,575241,"PricewaterhouseCoopers LLP",1,0238,,,,Houston,TX,TEXAS,"US Southwest",2025-08-31,2025,08,2025-10-24,N-CSR,2025-11-07,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"44,680","28,634","73,314",,,,,,,,,,,,,,
"EP Private Capital Fund I",2076022,,,,,"600 STEAMBOAT ROAD","SUITE 202",GREENWICH,Fairfield,CT,CONNECTICUT,"US New England",06830,"(203) 340-8500",,,,,,,40,576265,"KPMG LLP",4,0185,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-09-30,2025,09,2025-11-26,N-CSR,2025-11-28,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BLACKROCK FUNDS",844779,,,,,"100 BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(800) 441-7762",,,,,525990,"Other Financial Vehicles",40,566282,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-03-31,2025,03,2025-05-22,N-CSR,2025-06-05,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"24,442","12,000","36,442",,,,,,,,,,,,,,
"CASH ACCOUNT TRUST",858372,,,,,"875 THIRD AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10022-6225,"(212) 454-4500",,,,,525910,"Open-End Investment Funds",40,567562,"Ernst & Young LLP",2,0042,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-04-30,2025,04,2025-06-18,N-CSR,2025-06-27,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"28,722","5,969","34,691",,,,,,,,,,,,,,
"T. Rowe Price Limited-Duration Inflation Focused Bond Fund, Inc.",1368135,,,,,"1307 POINT STREET",,BALTIMORE,"Baltimore City",MD,MARYLAND,"US Mid Atlantic",21231,"(410) 345-2000",,,,,525910,"Open-End Investment Funds",40,569098,"PricewaterhouseCoopers LLP",1,0238,,,,Baltimore,MD,MARYLAND,"US Mid Atlantic",2025-05-31,2025,05,2025-07-18,N-CSR,2025-07-24,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"34,043",0,"34,043",,,,,,,,,,,,,,
